"Time","iowait","irq","nice","softirq","steal","system","user","Used","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","timeStamp","timeToFail"
"2023-04-02 11:19:50","0%","0%","0%","5.60%","7.00%","5%","16.9%","340 MiB","4.27 GB/s","0 kB/s","28.2 kB/s","2.93 GB/s","0 kB/s","4.29 GB/s","1680409190000","1508352"
"2023-04-02 11:19:55","0%","0%","0%","3.40%","3.00%","2.20%","8.80%","340 MiB","2.84 GB/s","0 kB/s","11.6 kB/s","1.55 GB/s","0 kB/s","2.85 GB/s","1680409195000","1503352"
"2023-04-02 11:20:00","0%","0%","0%","3.40%","3.00%","2.20%","8.80%","340 MiB","2.84 GB/s","0 kB/s","11.6 kB/s","1.55 GB/s","0 kB/s","2.85 GB/s","1680409200000","1498352"
"2023-04-02 11:20:05","0%","0%","0%","3.70%","4.50%","3.40%","14.1%","340 MiB","4.14 GB/s","0 kB/s","0 kB/s","2.56 GB/s","0 kB/s","4.14 GB/s","1680409205000","1493352"
"2023-04-02 11:20:10","0%","0%","0%","3.70%","4.50%","3.40%","14.1%","340 MiB","4.14 GB/s","0 kB/s","0 kB/s","2.56 GB/s","0 kB/s","4.14 GB/s","1680409210000","1488352"
"2023-04-02 11:20:15","0%","0%","0%","8.20%","10.5%","6.60%","15.5%","340 MiB","3.03 GB/s","0 kB/s","67.7 kB/s","1.97 GB/s","0 kB/s","3.04 GB/s","1680409215000","1483352"
"2023-04-02 11:20:20","0%","0%","0%","8.20%","10.5%","6.60%","15.5%","340 MiB","3.03 GB/s","0 kB/s","67.7 kB/s","1.97 GB/s","0 kB/s","3.04 GB/s","1680409220000","1478352"
"2023-04-02 11:20:25","0%","0%","0%","4.40%","5.90%","3.70%","14.8%","340 MiB","4.39 GB/s","0 kB/s","0 kB/s","2.73 GB/s","0 kB/s","4.40 GB/s","1680409225000","1473352"
"2023-04-02 11:20:30","0%","0%","0%","4.40%","5.90%","3.70%","14.8%","340 MiB","4.39 GB/s","0 kB/s","0 kB/s","2.73 GB/s","0 kB/s","4.40 GB/s","1680409230000","1468352"
"2023-04-02 11:20:35","0%","0%","0%","6.80%","9.00%","4.60%","15.8%","338 MiB","3.86 GB/s","0 kB/s","5.80 kB/s","2.52 GB/s","0 kB/s","3.87 GB/s","1680409235000","1463352"
"2023-04-02 11:20:40","0%","0%","0%","6.80%","9.00%","4.60%","15.8%","338 MiB","3.86 GB/s","0 kB/s","5.80 kB/s","2.52 GB/s","0 kB/s","3.87 GB/s","1680409240000","1458352"
"2023-04-02 11:20:45","0%","0%","0%","4.10%","3.80%","3.60%","15.1%","338 MiB","4.43 GB/s","0 kB/s","5.60 kB/s","2.67 GB/s","0 kB/s","4.44 GB/s","1680409245000","1453352"
"2023-04-02 11:20:50","0%","0%","0%","4.10%","3.80%","3.60%","15.1%","338 MiB","4.43 GB/s","0 kB/s","5.60 kB/s","2.67 GB/s","0 kB/s","4.44 GB/s","1680409250000","1448352"
"2023-04-02 11:20:55","0%","0%","0%","3.20%","2.60%","3.20%","8.70%","338 MiB","2.08 GB/s","0 kB/s","51.7 kB/s","1.32 GB/s","0 kB/s","2.08 GB/s","1680409255000","1443352"
"2023-04-02 11:21:00","0%","0%","0%","3.20%","2.60%","3.20%","8.70%","338 MiB","2.08 GB/s","0 kB/s","51.7 kB/s","1.32 GB/s","0 kB/s","2.08 GB/s","1680409260000","1438352"
"2023-04-02 11:21:05","0%","0%","0%","8.10%","9.30%","6.80%","11.6%","342 MiB","1.87 GB/s","0 kB/s","11.6 kB/s","1.34 GB/s","0 kB/s","1.88 GB/s","1680409265000","1433352"
"2023-04-02 11:21:10","0%","0%","0%","8.10%","9.30%","6.80%","11.6%","342 MiB","1.87 GB/s","0 kB/s","11.6 kB/s","1.34 GB/s","0 kB/s","1.88 GB/s","1680409270000","1428352"
"2023-04-02 11:21:15","0%","0%","0%","5.50%","6.60%","5.80%","12.1%","340 MiB","2.43 GB/s","0 kB/s","5.80 kB/s","1.53 GB/s","0 kB/s","2.45 GB/s","1680409275000","1423352"
"2023-04-02 11:21:20","0%","0%","0%","5.50%","6.60%","5.80%","12.1%","340 MiB","2.43 GB/s","0 kB/s","5.80 kB/s","1.53 GB/s","0 kB/s","2.45 GB/s","1680409280000","1418352"
"2023-04-02 11:21:25","0%","0%","0%","2.50%","4.00%","2.90%","6.00%","340 MiB","1.18 GB/s","0 kB/s","0 kB/s","770 MB/s","0 kB/s","1.19 GB/s","1680409285000","1413352"
"2023-04-02 11:21:30","0%","0%","0%","2.50%","4.00%","2.90%","6.00%","340 MiB","1.18 GB/s","0 kB/s","0 kB/s","770 MB/s","0 kB/s","1.19 GB/s","1680409290000","1408352"
"2023-04-02 11:21:35","0%","0%","0%","5.20%","6.00%","4.80%","8.90%","340 MiB","2.26 GB/s","0 kB/s","11.2 kB/s","1.45 GB/s","0 kB/s","2.27 GB/s","1680409295000","1403352"
"2023-04-02 11:21:40","0%","0%","0%","5.20%","6.00%","4.80%","8.90%","340 MiB","2.26 GB/s","0 kB/s","11.2 kB/s","1.45 GB/s","0 kB/s","2.27 GB/s","1680409300000","1398352"
"2023-04-02 11:21:45","0%","0%","0%","3.30%","4.40%","2.40%","7.10%","340 MiB","1.68 GB/s","0 kB/s","17.2 kB/s","1.07 GB/s","0 kB/s","1.69 GB/s","1680409305000","1393352"
"2023-04-02 11:21:50","0%","0%","0%","3.30%","4.40%","2.40%","7.10%","340 MiB","1.68 GB/s","0 kB/s","17.2 kB/s","1.07 GB/s","0 kB/s","1.69 GB/s","1680409310000","1388352"
"2023-04-02 11:21:55","0%","0%","0%","3.10%","4.00%","3.00%","7.40%","336 MiB","1.67 GB/s","0 kB/s","0 kB/s","1.08 GB/s","0 kB/s","1.68 GB/s","1680409315000","1383352"
"2023-04-02 11:22:00","0%","0%","0%","3.10%","4.00%","3.00%","7.40%","336 MiB","1.67 GB/s","0 kB/s","0 kB/s","1.08 GB/s","0 kB/s","1.68 GB/s","1680409320000","1378352"
"2023-04-02 11:22:05","0.200%","0%","0%","2.70%","6.50%","3.00%","4.60%","336 MiB","626 MB/s","0 kB/s","11.2 kB/s","425 MB/s","0 kB/s","632 MB/s","1680409325000","1373352"
"2023-04-02 11:22:10","0.200%","0%","0%","2.70%","6.50%","3.00%","4.60%","336 MiB","626 MB/s","0 kB/s","11.2 kB/s","425 MB/s","0 kB/s","632 MB/s","1680409330000","1368352"
"2023-04-02 11:22:15","0%","0%","0%","1.90%","2.70%","2.50%","7.30%","336 MiB","1.88 GB/s","0 kB/s","107 kB/s","1.19 GB/s","0 kB/s","1.88 GB/s","1680409335000","1363352"
"2023-04-02 11:22:20","0%","0%","0%","1.90%","2.70%","2.50%","7.30%","336 MiB","1.88 GB/s","0 kB/s","107 kB/s","1.19 GB/s","0 kB/s","1.88 GB/s","1680409340000","1358352"
"2023-04-02 11:22:25","0%","0%","0%","3.40%","4.20%","3.90%","7.70%","344 MiB","1.75 GB/s","0 kB/s","58.8 kB/s","1.14 GB/s","0 kB/s","1.76 GB/s","1680409345000","1353352"
"2023-04-02 11:22:30","0%","0%","0%","3.40%","4.20%","3.90%","7.70%","344 MiB","1.75 GB/s","0 kB/s","58.8 kB/s","1.14 GB/s","0 kB/s","1.76 GB/s","1680409350000","1348352"
"2023-04-02 11:22:35","0%","0%","0%","2.50%","3.10%","3.70%","9.10%","340 MiB","2.44 GB/s","0 kB/s","22.4 kB/s","1.52 GB/s","0 kB/s","2.45 GB/s","1680409355000","1343352"
"2023-04-02 11:22:40","0%","0%","0%","2.50%","3.10%","3.70%","9.10%","340 MiB","2.44 GB/s","0 kB/s","22.4 kB/s","1.52 GB/s","0 kB/s","2.45 GB/s","1680409360000","1338352"
"2023-04-02 11:22:45","0%","0%","0%","1.60%","1.40%","2.00%","7.20%","340 MiB","2.05 GB/s","0 kB/s","0 kB/s","1.29 GB/s","0 kB/s","2.06 GB/s","1680409365000","1333352"
"2023-04-02 11:22:50","0%","0%","0%","1.60%","1.40%","2.00%","7.20%","340 MiB","2.05 GB/s","0 kB/s","0 kB/s","1.29 GB/s","0 kB/s","2.06 GB/s","1680409370000","1328352"
"2023-04-02 11:22:55","0%","0%","0%","1.40%","1.50%","1.50%","6.20%","344 MiB","1.65 GB/s","0 kB/s","0 kB/s","1.02 GB/s","0 kB/s","1.65 GB/s","1680409375000","1323352"
"2023-04-02 11:23:00","0%","0%","0%","1.40%","1.50%","1.50%","6.20%","344 MiB","1.65 GB/s","0 kB/s","0 kB/s","1.02 GB/s","0 kB/s","1.65 GB/s","1680409380000","1318352"
"2023-04-02 11:23:05","0%","0%","0%","1.10%","1.10%","1.20%","5.60%","344 MiB","1.42 GB/s","0 kB/s","17.2 kB/s","1.23 GB/s","0 kB/s","1.42 GB/s","1680409385000","1313352"
"2023-04-02 11:23:10","0%","0%","0%","1.10%","1.10%","1.20%","5.60%","344 MiB","1.42 GB/s","0 kB/s","17.2 kB/s","1.23 GB/s","0 kB/s","1.42 GB/s","1680409390000","1308352"
"2023-04-02 11:23:15","0%","0%","0%","2.30%","1.50%","2.00%","10%","344 MiB","3.48 GB/s","0 kB/s","11.6 kB/s","1.81 GB/s","0 kB/s","3.48 GB/s","1680409395000","1303352"
"2023-04-02 11:23:20","0%","0%","0%","2.30%","1.50%","2.00%","10%","344 MiB","3.48 GB/s","0 kB/s","11.6 kB/s","1.81 GB/s","0 kB/s","3.48 GB/s","1680409400000","1298352"
"2023-04-02 11:23:25","0%","0%","0%","2.90%","3.30%","3.50%","7.80%","344 MiB","2.05 GB/s","0 kB/s","5.80 kB/s","1.31 GB/s","0 kB/s","2.06 GB/s","1680409405000","1293352"
"2023-04-02 11:23:30","0%","0%","0%","2.90%","3.30%","3.50%","7.80%","344 MiB","2.05 GB/s","0 kB/s","5.80 kB/s","1.31 GB/s","0 kB/s","2.06 GB/s","1680409410000","1288352"
"2023-04-02 11:23:35","0%","0%","0%","2.80%","3.50%","2.90%","9.60%","344 MiB","2.66 GB/s","0 kB/s","11.2 kB/s","1.68 GB/s","0 kB/s","2.67 GB/s","1680409415000","1283352"
"2023-04-02 11:23:40","0%","0%","0%","2.80%","3.50%","2.90%","9.60%","344 MiB","2.66 GB/s","0 kB/s","11.2 kB/s","1.68 GB/s","0 kB/s","2.67 GB/s","1680409420000","1278352"
"2023-04-02 11:23:45","0%","0%","0%","3.80%","3.30%","5.10%","8.80%","340 MiB","1.75 GB/s","0 kB/s","22.4 kB/s","1.16 GB/s","0 kB/s","1.76 GB/s","1680409425000","1273352"
"2023-04-02 11:23:50","0%","0%","0%","3.80%","3.30%","5.10%","8.80%","340 MiB","1.75 GB/s","0 kB/s","22.4 kB/s","1.16 GB/s","0 kB/s","1.76 GB/s","1680409430000","1268352"
"2023-04-02 11:23:55","0%","0%","0%","4.10%","3.20%","4.80%","11.0%","342 MiB","2.71 GB/s","0 kB/s","22.8 kB/s","1.72 GB/s","0 kB/s","2.72 GB/s","1680409435000","1263352"
"2023-04-02 11:24:00","0%","0%","0%","4.10%","3.20%","4.80%","11.0%","342 MiB","2.71 GB/s","0 kB/s","22.8 kB/s","1.72 GB/s","0 kB/s","2.72 GB/s","1680409440000","1258352"
"2023-04-02 11:24:05","0%","0%","0%","3.00%","3.30%","3.50%","10.2%","336 MiB","2.71 GB/s","0 kB/s","11.6 kB/s","1.70 GB/s","0 kB/s","2.72 GB/s","1680409445000","1253352"
"2023-04-02 11:24:10","0%","0%","0%","3.00%","3.30%","3.50%","10.2%","336 MiB","2.71 GB/s","0 kB/s","11.6 kB/s","1.70 GB/s","0 kB/s","2.72 GB/s","1680409450000","1248352"
"2023-04-02 11:24:15","0%","0%","0%","2.60%","2.30%","2.80%","7.60%","336 MiB","1.71 GB/s","0 kB/s","56.5 kB/s","1.10 GB/s","0 kB/s","1.72 GB/s","1680409455000","1243352"
"2023-04-02 11:24:20","0%","0%","0%","2.60%","2.30%","2.80%","7.60%","336 MiB","1.71 GB/s","0 kB/s","56.5 kB/s","1.10 GB/s","0 kB/s","1.72 GB/s","1680409460000","1238352"
"2023-04-02 11:24:25","0%","0%","0%","4.20%","4.60%","4.40%","11.6%","336 MiB","2.60 GB/s","0 kB/s","22.4 kB/s","1.65 GB/s","0 kB/s","2.60 GB/s","1680409465000","1233352"
"2023-04-02 11:24:30","0%","0%","0%","4.20%","4.60%","4.40%","11.6%","336 MiB","2.60 GB/s","0 kB/s","22.4 kB/s","1.65 GB/s","0 kB/s","2.60 GB/s","1680409470000","1228352"
"2023-04-02 11:24:35","0.1000%","0%","0%","2.40%","2.10%","2.80%","9.40%","344 MiB","2.03 GB/s","0 kB/s","11.2 kB/s","1.27 GB/s","0 kB/s","2.04 GB/s","1680409475000","1223352"
"2023-04-02 11:24:40","0.1000%","0%","0%","2.40%","2.10%","2.80%","9.40%","344 MiB","2.03 GB/s","0 kB/s","11.2 kB/s","1.27 GB/s","0 kB/s","2.04 GB/s","1680409480000","1218352"
"2023-04-02 11:24:45","0%","0%","0%","4.70%","5.30%","5.50%","7.30%","344 MiB","1.25 GB/s","0 kB/s","5.60 kB/s","889 MB/s","0 kB/s","1.27 GB/s","1680409485000","1213352"
"2023-04-02 11:24:50","0%","0%","0%","4.70%","5.30%","5.50%","7.30%","344 MiB","1.25 GB/s","0 kB/s","5.60 kB/s","889 MB/s","0 kB/s","1.27 GB/s","1680409490000","1208352"
"2023-04-02 11:24:55","0%","0%","0%","3.90%","5.30%","4.80%","3.60%","344 MiB","237 MB/s","0 kB/s","11.8 kB/s","204 MB/s","0 kB/s","244 MB/s","1680409495000","1203352"
"2023-04-02 11:25:00","0%","0%","0%","3.90%","5.30%","4.80%","3.60%","344 MiB","237 MB/s","0 kB/s","11.8 kB/s","204 MB/s","0 kB/s","244 MB/s","1680409500000","1198352"
"2023-04-02 11:25:05","0.1000%","0%","0%","4.20%","6.80%","3.60%","6.60%","344 MiB","1.09 GB/s","0 kB/s","11.2 kB/s","712 MB/s","0 kB/s","1.10 GB/s","1680409505000","1193352"
"2023-04-02 11:25:10","0.1000%","0%","0%","4.20%","6.80%","3.60%","6.60%","344 MiB","1.09 GB/s","0 kB/s","11.2 kB/s","712 MB/s","0 kB/s","1.10 GB/s","1680409510000","1188352"
"2023-04-02 11:25:15","0%","0%","0%","3.30%","5.30%","3.10%","8.50%","344 MiB","2.16 GB/s","0 kB/s","17.5 kB/s","1.37 GB/s","0 kB/s","2.17 GB/s","1680409515000","1183352"
"2023-04-02 11:25:20","0%","0%","0%","3.30%","5.30%","3.10%","8.50%","344 MiB","2.16 GB/s","0 kB/s","17.5 kB/s","1.37 GB/s","0 kB/s","2.17 GB/s","1680409520000","1178352"
"2023-04-02 11:25:25","0%","0%","0%","3.10%","3.70%","2.80%","8.80%","339 MiB","2.18 GB/s","0 kB/s","22.4 kB/s","1.40 GB/s","0 kB/s","2.18 GB/s","1680409525000","1173352"
"2023-04-02 11:25:30","0%","0%","0%","3.10%","3.70%","2.80%","8.80%","339 MiB","2.18 GB/s","0 kB/s","22.4 kB/s","1.40 GB/s","0 kB/s","2.18 GB/s","1680409530000","1168352"
"2023-04-02 11:25:35","0%","0%","0%","1.50%","1.80%","1.20%","6.70%","339 MiB","1.99 GB/s","0 kB/s","0 kB/s","1.22 GB/s","0 kB/s","2.00 GB/s","1680409535000","1163352"
"2023-04-02 11:25:40","0%","0%","0%","1.50%","1.80%","1.20%","6.70%","339 MiB","1.99 GB/s","0 kB/s","0 kB/s","1.22 GB/s","0 kB/s","2.00 GB/s","1680409540000","1158352"
"2023-04-02 11:25:45","0%","0%","0%","3.40%","3.20%","3.90%","14.2%","339 MiB","4.20 GB/s","0 kB/s","11.2 kB/s","2.59 GB/s","0 kB/s","4.21 GB/s","1680409545000","1153352"
"2023-04-02 11:25:50","0%","0%","0%","3.40%","3.20%","3.90%","14.2%","339 MiB","4.20 GB/s","0 kB/s","11.2 kB/s","2.59 GB/s","0 kB/s","4.21 GB/s","1680409550000","1148352"
"2023-04-02 11:25:55","0%","0%","0%","4.20%","5.70%","3.50%","3.70%","339 MiB","225 MB/s","0 kB/s","6 kB/s","216 MB/s","0 kB/s","233 MB/s","1680409555000","1143352"
"2023-04-02 11:26:00","0%","0%","0%","4.20%","5.70%","3.50%","3.70%","339 MiB","225 MB/s","0 kB/s","6 kB/s","216 MB/s","0 kB/s","233 MB/s","1680409560000","1138352"
"2023-04-02 11:26:05","0%","0%","0%","0.200%","0.300%","0.500%","1.70%","339 MiB","453 MB/s","0 kB/s","5.60 kB/s","272 MB/s","0 kB/s","453 MB/s","1680409565000","1133352"
"2023-04-02 11:26:10","0%","0%","0%","0.200%","0.300%","0.500%","1.70%","339 MiB","453 MB/s","0 kB/s","5.60 kB/s","272 MB/s","0 kB/s","453 MB/s","1680409570000","1128352"
"2023-04-02 11:26:15","0%","0%","0%","1.50%","2.70%","2.30%","2.30%","339 MiB","102 MB/s","0 kB/s","56.5 kB/s","93.3 MB/s","0 kB/s","105 MB/s","1680409575000","1123352"
"2023-04-02 11:26:20","0%","0%","0%","1.50%","2.70%","2.30%","2.30%","339 MiB","102 MB/s","0 kB/s","56.5 kB/s","93.3 MB/s","0 kB/s","105 MB/s","1680409580000","1118352"
"2023-04-02 11:26:25","0%","0%","0%","0%","0.100%","0.100%","0%","339 MiB","4.55 MB/s","0 kB/s","13.2 kB/s","3.01 MB/s","0 kB/s","4.59 MB/s","1680409585000","1113352"
"2023-04-02 11:26:30","0%","0%","0%","0%","0.100%","0.100%","0%","339 MiB","4.55 MB/s","0 kB/s","13.2 kB/s","3.01 MB/s","0 kB/s","4.59 MB/s","1680409590000","1108352"
"2023-04-02 11:26:35","0%","0%","0%","0.400%","0.800%","1.000%","1.70%","339 MiB","455 MB/s","0 kB/s","11.2 kB/s","297 MB/s","0 kB/s","456 MB/s","1680409595000","1103352"
"2023-04-02 11:26:40","0%","0%","0%","0.400%","0.800%","1.000%","1.70%","339 MiB","455 MB/s","0 kB/s","11.2 kB/s","297 MB/s","0 kB/s","456 MB/s","1680409600000","1098352"
"2023-04-02 11:26:45","0%","0%","0%","0.600%","1.10%","0.900%","2.90%","341 MiB","556 MB/s","0 kB/s","11.2 kB/s","340 MB/s","0 kB/s","558 MB/s","1680409605000","1093352"
"2023-04-02 11:26:50","0%","0%","0%","0.600%","1.10%","0.900%","2.90%","341 MiB","556 MB/s","0 kB/s","11.2 kB/s","340 MB/s","0 kB/s","558 MB/s","1680409610000","1088352"
"2023-04-02 11:26:55","0%","0%","0%","1.40%","1.60%","1.10%","1.10%","341 MiB","59.5 MB/s","0 kB/s","0 kB/s","53.6 MB/s","0 kB/s","61.4 MB/s","1680409615000","1083352"
"2023-04-02 11:27:00","0%","0%","0%","1.40%","1.60%","1.10%","1.10%","341 MiB","59.5 MB/s","0 kB/s","0 kB/s","53.6 MB/s","0 kB/s","61.4 MB/s","1680409620000","1078352"
"2023-04-02 11:27:05","0%","0%","0%","0.800%","1.20%","1.00%","1.50%","341 MiB","50.8 MB/s","0 kB/s","22.8 kB/s","46.2 MB/s","0 kB/s","52.5 MB/s","1680409625000","1073352"
"2023-04-02 11:27:10","0%","0%","0%","0.800%","1.20%","1.00%","1.50%","341 MiB","50.8 MB/s","0 kB/s","22.8 kB/s","46.2 MB/s","0 kB/s","52.5 MB/s","1680409630000","1068352"
"2023-04-02 11:27:15","0%","0%","0%","0.200%","0.200%","0.300%","3.10%","341 MiB","998 MB/s","0 kB/s","0 kB/s","611 MB/s","0 kB/s","998 MB/s","1680409635000","1063352"
"2023-04-02 11:27:20","0%","0%","0%","0.200%","0.200%","0.300%","3.10%","341 MiB","998 MB/s","0 kB/s","0 kB/s","611 MB/s","0 kB/s","998 MB/s","1680409640000","1058352"
"2023-04-02 11:27:25","0%","0%","0%","1.40%","2.20%","1.10%","1.60%","341 MiB","67.2 MB/s","0 kB/s","0 kB/s","61.4 MB/s","0 kB/s","69.4 MB/s","1680409645000","1053352"
"2023-04-02 11:27:30","0%","0%","0%","1.40%","2.20%","1.10%","1.60%","341 MiB","67.2 MB/s","0 kB/s","0 kB/s","61.4 MB/s","0 kB/s","69.4 MB/s","1680409650000","1048352"
"2023-04-02 11:27:35","0%","0%","0%","1.80%","2.80%","2.70%","4.20%","341 MiB","701 MB/s","0 kB/s","0 kB/s","480 MB/s","0 kB/s","706 MB/s","1680409655000","1043352"
"2023-04-02 11:27:40","0%","0%","0%","1.80%","2.80%","2.70%","4.20%","341 MiB","701 MB/s","0 kB/s","0 kB/s","480 MB/s","0 kB/s","706 MB/s","1680409660000","1038352"
"2023-04-02 11:27:45","0%","0%","0%","0.600%","0.800%","0.800%","2.10%","339 MiB","492 MB/s","0 kB/s","0 kB/s","307 MB/s","0 kB/s","494 MB/s","1680409665000","1033352"
"2023-04-02 11:27:50","0%","0%","0%","0.600%","0.800%","0.800%","2.10%","339 MiB","492 MB/s","0 kB/s","0 kB/s","307 MB/s","0 kB/s","494 MB/s","1680409670000","1028352"
"2023-04-02 11:27:55","0%","0%","0%","0.600%","1.00%","0.600%","0.400%","339 MiB","30.0 MB/s","0 kB/s","17.4 kB/s","26.6 MB/s","0 kB/s","30.9 MB/s","1680409675000","1023352"
"2023-04-02 11:28:00","0%","0%","0%","0.600%","1.00%","0.600%","0.400%","339 MiB","30.0 MB/s","0 kB/s","17.4 kB/s","26.6 MB/s","0 kB/s","30.9 MB/s","1680409680000","1018352"
"2023-04-02 11:28:05","0%","0%","0%","0.400%","0.500%","0.300%","4.80%","339 MiB","1.46 GB/s","0 kB/s","5.80 kB/s","910 MB/s","0 kB/s","1.47 GB/s","1680409685000","1013352"
"2023-04-02 11:28:10","0%","0%","0%","0.400%","0.500%","0.300%","4.80%","339 MiB","1.46 GB/s","0 kB/s","5.80 kB/s","910 MB/s","0 kB/s","1.47 GB/s","1680409690000","1008352"
"2023-04-02 11:28:15","0%","0%","0%","2.20%","3.40%","2.20%","5.20%","339 MiB","1.05 GB/s","0 kB/s","84.1 kB/s","680 MB/s","0 kB/s","1.05 GB/s","1680409695000","1003352"
"2023-04-02 11:28:20","0%","0%","0%","2.20%","3.40%","2.20%","5.20%","339 MiB","1.05 GB/s","0 kB/s","84.1 kB/s","680 MB/s","0 kB/s","1.05 GB/s","1680409700000","998352"
"2023-04-02 11:28:25","0%","0%","0%","1.90%","3.30%","2.30%","3.70%","339 MiB","676 MB/s","0 kB/s","0 kB/s","443 MB/s","0 kB/s","680 MB/s","1680409705000","993352"
"2023-04-02 11:28:30","0%","0%","0%","1.90%","3.30%","2.30%","3.70%","339 MiB","676 MB/s","0 kB/s","0 kB/s","443 MB/s","0 kB/s","680 MB/s","1680409710000","988352"
"2023-04-02 11:28:35","0%","0%","0%","3.60%","3.50%","2.30%","4.60%","339 MiB","709 MB/s","0 kB/s","5.60 kB/s","475 MB/s","0 kB/s","714 MB/s","1680409715000","983352"
"2023-04-02 11:28:40","0%","0%","0%","3.60%","3.50%","2.30%","4.60%","339 MiB","709 MB/s","0 kB/s","5.60 kB/s","475 MB/s","0 kB/s","714 MB/s","1680409720000","978352"
"2023-04-02 11:28:45","0%","0%","0%","0.400%","0.300%","0.600%","4.70%","339 MiB","1.56 GB/s","0 kB/s","0 kB/s","953 MB/s","0 kB/s","1.56 GB/s","1680409725000","973352"
